row_label,column_label,times_missing,total_files,missing_fraction
LH_Vis_1,RH_SomMot_16,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_17,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_18,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_19,6,159,0.03773584905660377
LH_Vis_1,RH_DorsAttn_Post_1,1,159,0.006289308176100629
LH_Vis_1,RH_DorsAttn_Post_2,1,159,0.006289308176100629
LH_Vis_1,RH_DorsAttn_Post_3,1,159,0.006289308176100629
LH_Vis_1,RH_DorsAttn_Post_4,1,159,0.006289308176100629
LH_Vis_1,RH_DorsAttn_Post_5,0,159,0.0
LH_Vis_1,RH_DorsAttn_Post_6,11,159,0.06918238993710692
LH_Vis_1,RH_DorsAttn_Post_7,0,159,0.0
LH_Vis_1,RH_DorsAttn_Post_8,1,159,0.006289308176100629
LH_Vis_1,RH_DorsAttn_Post_9,2,159,0.012578616352201259
LH_Vis_1,RH_DorsAttn_Post_10,9,159,0.05660377358490566
LH_Vis_1,RH_DorsAttn_FEF_1,0,159,0.0
LH_Vis_1,RH_DorsAttn_FEF_2,1,159,0.006289308176100629
LH_Vis_1,RH_DorsAttn_PrCv_1,1,159,0.006289308176100629
LH_Vis_1,RH_SalVentAttn_TempOccPar_1,1,159,0.006289308176100629
LH_Vis_1,RH_SalVentAttn_TempOccPar_2,1,159,0.006289308176100629
LH_Vis_1,RH_SalVentAttn_TempOccPar_3,1,159,0.006289308176100629
LH_Vis_1,RH_SalVentAttn_PrC_1,1,159,0.006289308176100629
LH_Vis_1,RH_SalVentAttn_FrOperIns_1,0,159,0.0
LH_Vis_1,RH_SalVentAttn_FrOperIns_2,0,159,0.0
LH_Vis_1,RH_SalVentAttn_FrOperIns_3,1,159,0.006289308176100629
LH_Vis_1,RH_SalVentAttn_FrOperIns_4,0,159,0.0
LH_Vis_1,RH_SalVentAttn_Med_1,0,159,0.0
LH_Vis_1,RH_SalVentAttn_Med_2,0,159,0.0
LH_Vis_1,RH_SalVentAttn_Med_3,1,159,0.006289308176100629
LH_Vis_1,RH_Limbic_OFC_1,76,159,0.4779874213836478
LH_Vis_1,RH_Limbic_OFC_2,4,159,0.025157232704402517
LH_Vis_1,RH_Limbic_OFC_3,77,159,0.48427672955974843
LH_Vis_1,RH_Limbic_TempPole_1,33,159,0.20754716981132076
LH_Vis_1,RH_Limbic_TempPole_2,66,159,0.41509433962264153
LH_Vis_1,RH_Limbic_TempPole_3,14,159,0.0880503144654088
LH_Vis_1,RH_Cont_Par_1,1,159,0.006289308176100629
LH_Vis_1,RH_Cont_Par_2,1,159,0.006289308176100629
LH_Vis_1,RH_Cont_Par_3,1,159,0.006289308176100629
LH_Vis_1,RH_Cont_Temp_1,48,159,0.3018867924528302
LH_Vis_1,RH_Cont_PFCv_1,1,159,0.006289308176100629
LH_Vis_1,RH_Cont_PFCl_1,2,159,0.012578616352201259
LH_Vis_1,RH_Cont_PFCl_2,2,159,0.012578616352201259
LH_Vis_1,RH_Cont_PFCl_3,2,159,0.012578616352201259
LH_Vis_1,RH_Cont_PFCl_4,2,159,0.012578616352201259
LH_Vis_1,RH_Cont_PFCl_5,2,159,0.012578616352201259
LH_Vis_1,RH_Cont_PFCl_6,2,159,0.012578616352201259
LH_Vis_1,RH_Cont_PFCl_7,1,159,0.006289308176100629
LH_Vis_1,RH_Cont_pCun_1,0,159,0.0
LH_Vis_1,RH_Cont_Cing_1,0,159,0.0
LH_Vis_1,RH_Cont_Cing_2,0,159,0.0
LH_Vis_1,RH_Cont_PFCmp_1,0,159,0.0
LH_Vis_1,RH_Cont_PFCmp_2,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Par_1,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Par_2,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Par_3,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Temp_1,2,159,0.012578616352201259
LH_Vis_1,RH_Default_Temp_2,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Temp_3,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Temp_4,1,159,0.006289308176100629
LH_Vis_1,RH_Default_Temp_5,0,159,0.0
LH_Vis_1,RH_Default_PFCv_1,2,159,0.012578616352201259
LH_Vis_1,RH_Default_PFCdPFCm_1,2,159,0.012578616352201259
LH_Vis_1,RH_Default_PFCdPFCm_2,1,159,0.006289308176100629
LH_Vis_1,RH_Default_PFCdPFCm_3,1,159,0.006289308176100629
LH_Vis_1,RH_Default_PFCdPFCm_4,2,159,0.012578616352201259
