cluster,variable,period_shown,clusters_from,N_in_cluster,mean,std
1,T1_GAD7_total,t1,after,35,6.057142857142857,3.6375723735905576
0,T2_PHQ_total,t2,after,79,4.810126582278481,3.234731191491404
0,T2_GAD7_total,t2,after,79,2.911392405063291,2.7136401581909686
1,T2_PHQ_total,t2,after,35,8.114285714285714,3.946490835662283
1,T2_GAD7_total,t2,after,35,6.0285714285714285,3.633874243394607
0,T3_PHQ_total,t3,after,76,4.907894736842105,2.9311096036777493
0,T3_GAD7_total,t3,after,76,2.6184210526315788,2.643064409673781
1,T3_PHQ_total,t3,after,31,8.838709677419354,3.7867908506064287
1,T3_GAD7_total,t3,after,31,5.870967741935484,3.6124039593588364
0,after_PHQ_total,after,after,88,3.477272727272727,1.8443905184464064
0,after_GAD7_total,after,after,88,2.090909090909091,1.9096630480683718
1,after_PHQ_total,after,after,37,9.72972972972973,4.652649476067067
1,after_GAD7_total,after,after,37,7.972972972972973,3.847701236427382
